		Train error	Test error									
1000	1	24.83940043	24.03100775				1000	2000	4000	7000	10000	15000
	3	24.83940043	24.03100775		train	1	24.83940043	23.55460385	15.41755889	8.137044968	8.565310493	6.423982869
	5	17.98715203	16.27906977			3	24.83940043	14.13276231	14.98929336	13.91862955	9.635974304	6.638115632
	10	24.83940043	24.03100775			5	17.98715203	22.26980728	25.26766595	10.06423983	10.06423983	7.922912206
	15	24.83940043	24.03100775			10	24.83940043	17.34475375	15.41755889	8.993576017	7.066381156	14.34689507
	20	24.83940043	24.03100775			15	24.83940043	16.4882227	16.4882227	9.850107066	8.565310493	9.207708779
2000	1	23.55460385	19.37984496			20	24.83940043	25.69593148	21.62740899	11.13490364	7.708779443	9.421841542
	3	14.13276231	13.95348837									
	5	22.26980728	23.25581395				1000	2000	4000	7000	10000	15000
	10	17.34475375	13.95348837		test	1	24.03100775	19.37984496	13.17829457	8.527131783	13.95348837	10.85271318
	15	16.4882227	14.72868217			3	24.03100775	13.95348837	14.72868217	15.50387597	13.17829457	7.751937984
	20	25.69593148	24.80620155			5	16.27906977	23.25581395	28.68217054	13.95348837	12.40310078	11.62790698
4000	1	15.41755889	13.17829457			10	24.03100775	13.95348837	17.82945736	9.302325581	10.07751938	13.95348837
	3	14.98929336	14.72868217			15	24.03100775	14.72868217	19.37984496	14.72868217	15.50387597	17.05426357
	5	25.26766595	28.68217054			20	24.03100775	24.80620155	16.27906977	12.40310078	5.426356589	13.17829457
	10	15.41755889	17.82945736									
	15	16.4882227	19.37984496									
	20	21.62740899	16.27906977									
7000	1	8.137044968	8.527131783									
	3	13.91862955	15.50387597									
	5	10.06423983	13.95348837									
	10	8.993576017	9.302325581									
	15	9.850107066	14.72868217									
	20	11.13490364	12.40310078									
10000	1	8.565310493	13.95348837									
	3	9.635974304	13.17829457									
	5	10.06423983	12.40310078									
	10	7.066381156	10.07751938									
	15	8.565310493	15.50387597									
	20	7.708779443	5.426356589									
15000	1	6.423982869	10.85271318									
	3	6.638115632	7.751937984									
	5	7.922912206	11.62790698									
	10	14.34689507	13.95348837									
	15	9.207708779	17.05426357									
	20	9.421841542	13.17829457									
