,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,salary_high,salary_low,salary_medium
9,0.42,0.53,2,142,3,0,0,1,0,1,0
35,0.1,0.94,6,255,4,0,0,1,0,1,0
61,0.11,0.93,7,308,4,0,0,1,0,0,1
85,0.11,0.87,6,305,4,0,0,1,0,1,0
87,0.44,0.45,2,132,3,0,0,1,0,1,0
98,0.11,0.97,6,284,4,0,0,1,0,1,0
109,0.4,0.49,2,155,3,0,0,1,0,0,1
119,0.4,0.46,2,132,3,0,0,1,0,1,0
161,0.9,0.98,5,243,6,0,0,1,0,1,0
170,0.81,0.99,4,259,5,0,0,1,0,1,0
199,0.77,0.94,5,226,6,0,0,1,0,1,0
213,0.45,0.46,2,153,3,0,0,1,0,1,0
216,0.36,0.48,2,158,3,0,0,1,0,1,0
222,0.37,0.51,2,153,3,0,0,1,0,1,0
233,0.42,0.56,2,134,3,0,0,1,0,1,0
237,0.43,0.45,2,135,3,0,0,1,0,1,0
296,0.39,0.55,2,156,3,0,0,1,0,0,1
308,0.41,0.48,2,145,3,0,0,1,0,0,1
309,0.1,0.94,6,285,4,0,0,1,0,0,1
319,0.4,0.46,2,130,3,0,0,1,0,1,0
321,0.82,0.84,5,244,5,0,0,1,0,1,0
337,0.44,0.51,2,140,3,0,0,1,0,0,1
341,0.37,0.47,2,141,3,0,0,1,0,0,1
343,0.41,0.56,2,143,3,0,0,1,0,0,1
348,0.11,0.84,7,264,4,0,0,1,0,0,1
364,0.4,0.5,2,141,3,1,0,1,0,1,0
375,0.73,0.99,5,262,5,0,0,1,0,0,1
407,0.09,0.94,6,257,4,0,0,1,0,1,0
439,0.41,0.52,2,136,3,0,0,1,0,1,0
440,0.41,0.48,2,139,3,0,0,1,0,1,0
441,0.36,0.78,2,151,4,0,0,1,0,1,0
442,0.77,1.0,5,229,5,0,0,1,0,1,0
452,0.1,0.87,6,286,4,0,0,1,0,0,1
467,0.09,0.95,6,292,4,0,0,1,0,0,1
515,0.88,1.0,5,219,6,1,0,1,0,1,0
516,0.1,0.89,6,247,4,0,0,1,0,1,0
518,0.44,0.54,2,151,3,0,0,1,0,1,0
530,0.4,0.56,2,137,3,0,0,1,0,0,1
550,0.11,0.96,6,298,4,0,0,1,0,1,0
552,0.82,0.85,5,248,5,0,0,1,0,1,0
563,0.1,0.77,7,291,4,0,0,1,0,1,0
578,0.9,0.96,5,243,5,0,0,1,0,0,1
628,0.72,0.85,5,244,6,0,0,1,0,1,0
641,0.74,0.97,4,228,5,0,0,1,0,1,0
663,0.1,0.79,6,256,5,0,0,1,0,1,0
712,0.84,0.98,5,270,5,0,0,1,0,1,0
724,0.45,0.56,2,146,3,0,0,1,0,0,1
734,0.11,0.92,7,255,4,0,0,1,0,0,1
736,0.81,0.91,4,229,5,0,0,1,0,1,0
742,0.44,0.49,2,154,3,0,0,1,0,1,0
756,0.77,0.92,5,235,5,0,0,1,0,1,0
766,0.75,0.81,5,227,5,0,0,1,0,0,1
779,0.11,0.9,7,247,4,0,0,1,0,0,1
817,0.11,0.87,6,264,4,0,0,1,0,0,1
835,0.11,0.78,6,300,4,1,0,1,0,1,0
856,0.1,0.85,6,273,4,0,0,1,0,0,1
867,0.42,0.56,2,128,3,0,0,1,0,1,0
886,0.41,0.51,2,127,3,0,0,1,0,0,1
898,0.11,0.77,7,273,4,0,0,1,0,1,0
901,0.43,0.53,2,145,3,0,0,1,0,1,0
919,0.82,0.86,4,264,5,0,0,1,0,0,1
940,0.92,0.92,4,245,5,0,0,1,0,1,0
967,0.85,0.92,4,275,5,0,0,1,0,0,1
983,0.43,0.52,2,139,3,0,0,1,0,1,0
984,0.75,0.86,5,260,5,0,0,1,0,1,0
1025,0.4,0.45,2,142,3,0,0,1,0,1,0
1030,0.1,0.97,6,307,4,0,0,1,0,1,0
1033,0.42,0.56,2,158,3,0,0,1,0,1,0
1061,0.34,0.97,6,157,5,1,0,1,0,1,0
1073,0.45,0.54,2,154,3,0,0,1,0,1,0
1091,0.44,0.46,2,157,3,0,0,1,0,0,1
1097,0.38,0.48,2,134,3,0,0,1,0,1,0
1115,0.42,0.46,2,131,3,0,0,1,0,0,1
1117,0.72,0.88,5,249,5,0,0,1,0,0,1
1131,0.37,0.48,2,160,3,0,0,1,0,1,0
1154,0.39,0.53,2,131,3,0,0,1,0,0,1
1170,0.09,0.91,6,248,4,0,0,1,0,1,0
1178,0.85,0.89,4,221,5,0,0,1,0,1,0
1191,0.09,0.77,6,256,5,0,0,1,0,0,1
1219,0.75,1.0,4,243,5,0,0,1,0,1,0
1233,0.41,0.54,2,152,3,0,0,1,0,0,1
1312,0.1,0.92,5,272,4,0,0,1,0,0,1
1335,0.87,0.9,3,307,5,0,0,1,0,1,0
1379,0.37,0.48,2,154,3,0,0,1,0,1,0
1410,0.9,0.98,5,271,5,0,0,1,0,1,0
1443,0.11,0.88,7,305,4,0,0,1,0,1,0
1453,0.63,0.83,6,242,5,0,0,1,0,1,0
1501,0.39,0.48,2,151,3,0,0,1,0,1,0
1510,0.87,1.0,4,224,5,0,0,1,0,0,1
1574,0.36,0.51,2,129,3,0,0,1,0,1,0
1622,0.86,0.85,5,267,5,0,0,1,0,0,1
1662,0.81,0.83,5,269,6,0,0,1,0,0,1
1666,0.41,0.51,2,159,3,0,0,1,0,0,1
1704,0.38,0.49,2,140,3,0,0,1,0,0,1
1705,0.1,0.91,6,255,4,0,0,1,0,0,1
1717,0.11,0.96,6,310,4,0,0,1,0,1,0
1720,0.91,1.0,4,251,6,0,0,1,0,1,0
1729,0.86,0.95,4,270,5,0,0,1,0,1,0
1757,0.36,0.51,2,144,3,0,0,1,0,1,0
1778,0.85,0.9,2,168,2,0,0,1,0,0,1
1780,0.76,0.84,5,227,5,1,0,1,0,0,1
1784,0.43,0.51,2,149,3,1,0,1,0,0,1
1797,0.44,0.46,2,138,3,0,0,1,0,1,0
1824,0.44,0.51,2,152,3,0,0,1,0,0,1
1851,0.46,0.53,2,147,3,0,0,1,0,1,0
1882,0.09,0.89,6,282,4,0,0,1,0,1,0
1897,0.1,0.94,7,264,4,0,0,1,0,0,1
1911,0.91,0.98,4,242,6,0,0,1,0,1,0
1918,0.39,0.53,2,146,3,0,0,1,0,1,0
1920,0.37,0.49,2,148,3,0,0,1,0,1,0
1939,0.1,0.79,7,310,4,0,0,1,0,0,1
1977,0.42,0.49,2,153,3,0,0,1,0,0,1
2022,0.75,0.7,4,144,4,0,0,0,1,0,0
